date,n,sentiment_mean,sentiment_weighted,negative_share,engagement_sum,engagement_mean,rating_mean,delay_share
2026-08-06,61,-0.6557377049180327,-0.489511475409836,0.819672131147541,222,3.639344262295082,1.847457627118644,1.0
2026-08-07,159,-0.7484276729559748,-0.580077358490566,0.8490566037735849,318,2.0,1.75,1.0
2026-08-08,177,-0.672316384180791,-0.5098502824858757,0.8135593220338984,289,1.6327683615819208,1.630057803468208,1.0
2026-08-09,151,-0.7814569536423841,-0.5831622516556292,0.8675496688741722,176,1.1655629139072847,1.4452054794520548,1.0
2026-08-10,158,-0.7215189873417721,-0.5607449367088608,0.8037974683544303,683,4.322784810126582,1.3986486486486487,1.0
2026-08-11,170,-0.7,-0.5241858823529412,0.8176470588235294,274,1.611764705882353,1.4166666666666667,1.0
2026-08-12,140,-0.6357142857142857,-0.4766242857142857,0.7928571428571428,198,1.4142857142857144,1.640625,1.0
2026-08-13,157,-0.6815286624203821,-0.5182076433121019,0.8089171974522293,211,1.3439490445859872,1.524822695035461,1.0
2026-08-14,185,-0.772972972972973,-0.6015005405405406,0.8540540540540541,258,1.3945945945945946,1.4689265536723164,1.0
2026-08-15,175,-0.7485714285714286,-0.5762594285714285,0.84,260,1.4857142857142858,1.5116279069767442,1.0
2026-08-16,181,-0.6795580110497238,-0.5055779005524862,0.8011049723756906,903,4.988950276243094,1.6104651162790697,1.0
2026-08-17,157,-0.7770700636942676,-0.5773350318471338,0.8407643312101911,314,2.0,1.5608108108108107,1.0
2026-08-18,163,-0.8220858895705522,-0.6083736196319018,0.8711656441717791,268,1.6441717791411044,1.417808219178082,1.0
2026-08-19,161,-0.84472049689441,-0.6340385093167702,0.9006211180124224,509,3.1614906832298137,1.5490196078431373,1.0
2026-08-20,172,-0.7267441860465116,-0.5378052325581395,0.8197674418604651,217,1.2616279069767442,1.4518072289156627,1.0
2026-08-21,156,-0.7051282051282052,-0.5330948717948718,0.8205128205128205,463,2.967948717948718,1.4503311258278146,1.0
2026-08-22,163,-0.7852760736196319,-0.5982269938650306,0.8588957055214724,198,1.2147239263803682,1.471698113207547,1.0
2026-08-23,163,-0.7914110429447853,-0.619738036809816,0.8588957055214724,217,1.3312883435582823,1.3271604938271604,1.0
2026-08-24,221,-0.7963800904977375,-0.6020868778280543,0.8552036199095022,354,1.6018099547511313,1.380281690140845,1.0
2026-08-25,239,-0.7866108786610879,-0.5957979079497908,0.8577405857740585,242,1.0125523012552302,1.3928571428571428,1.0
2026-08-26,225,-0.7377777777777778,-0.5614426666666666,0.8222222222222222,943,4.191111111111111,1.5255813953488373,1.0
2026-08-27,230,-0.8130434782608695,-0.6065095652173913,0.8695652173913043,500,2.1739130434782608,1.3944954128440368,1.0
2026-08-28,263,-0.7452471482889734,-0.5679536121673004,0.8403041825095057,298,1.1330798479087452,1.4426877470355732,1.0
2026-08-29,278,-0.7733812949640287,-0.5818122302158273,0.8561151079136691,459,1.6510791366906474,1.4087591240875912,1.0
2026-08-30,271,-0.8081180811808119,-0.611929889298893,0.8634686346863468,635,2.3431734317343174,1.4119850187265917,1.0
2026-08-31,280,-0.7464285714285714,-0.5708385714285714,0.8357142857142857,461,1.6464285714285714,1.4924812030075187,1.0
2026-09-01,271,-0.6826568265682657,-0.5185881918819187,0.7970479704797048,649,2.3948339483394836,1.6732283464566928,1.0
2026-09-02,280,-0.6678571428571428,-0.49848678571428573,0.7892857142857143,250,0.8928571428571429,1.5909090909090908,1.0
2026-09-03,361,-0.6620498614958449,-0.5036722991689752,0.775623268698061,356,0.9861495844875346,1.5579268292682926,1.0
2026-09-04,404,-0.7202970297029703,-0.556834900990099,0.8168316831683168,644,1.5940594059405941,1.5196850393700787,1.0
2026-09-05,367,-0.779291553133515,-0.5841228882833788,0.8583106267029973,307,0.8365122615803815,1.5182072829131652,1.0
2026-09-06,398,-0.7085427135678392,-0.538641959798995,0.8090452261306532,618,1.5527638190954773,1.4192708333333333,1.0
2026-09-07,362,-0.7513812154696132,-0.5709223756906078,0.8342541436464088,246,0.6795580110497238,1.565597667638484,1.0
2026-09-08,490,-0.6938775510204082,-0.5286059183673469,0.7979591836734694,219,0.44693877551020406,1.618942731277533,1.0
2026-09-09,496,-0.7016129032258065,-0.5202493951612903,0.7983870967741935,294,0.592741935483871,1.5978260869565217,1.0
2026-09-10,515,-0.6737864077669903,-0.5021042718446602,0.7747572815533981,300,0.5825242718446602,1.6308316430020284,1.0
2026-09-11,624,-0.657051282051282,-0.49224375,0.7740384615384616,496,0.7948717948717948,1.6491525423728814,1.0
2026-09-12,709,-0.6826516220028209,-0.5145609308885755,0.7856135401974612,351,0.49506346967559944,1.7093023255813953,1.0
2026-09-13,722,-0.6301939058171745,-0.4812307479224377,0.7590027700831025,497,0.6883656509695291,1.689170182841069,1.0
2026-09-14,696,-0.6910919540229885,-0.5189778735632183,0.7974137931034483,452,0.6494252873563219,1.7049924357034796,1.0
2026-09-15,716,-0.6187150837988827,-0.47064832402234635,0.7583798882681564,3902,5.449720670391062,1.8204747774480712,1.0
2026-09-16,884,-0.6549773755656109,-0.4864423076923077,0.7737556561085973,1004,1.1357466063348416,1.7308673469387754,1.0
2026-09-17,872,-0.6444954128440367,-0.4809067660550459,0.7660550458715596,1744,2.0,1.6739659367396593,1.0
2026-09-18,855,-0.6339181286549708,-0.4758584795321637,0.7602339181286549,712,0.8327485380116959,1.701363073110285,1.0
2026-09-19,284,-0.676056338028169,-0.5051887323943662,0.778169014084507,48,0.16901408450704225,1.7777777777777777,1.0
2026-09-20,45,-0.7777777777777778,-0.5978866666666667,0.8666666666666667,0,0.0,,1.0
