date,n,sentiment_mean,sentiment_weighted,negative_share,engagement_sum,engagement_mean,rating_mean,delay_share
2026-08-06,67,-0.7761194029850746,-0.5858716417910448,0.835820895522388,82,1.2238805970149254,1.5538461538461539,1.0
2026-08-07,232,-0.7758620689655172,-0.6057969827586207,0.8405172413793104,416,1.793103448275862,1.4931506849315068,1.0
2026-08-08,243,-0.7037037037037037,-0.544961316872428,0.8148148148148148,347,1.4279835390946503,1.553191489361702,1.0
2026-08-09,209,-0.7703349282296651,-0.5791478468899521,0.84688995215311,215,1.0287081339712918,1.3448275862068966,1.0
2026-08-10,226,-0.7389380530973452,-0.5823367256637169,0.8141592920353983,597,2.6415929203539825,1.3981481481481481,1.0
2026-08-11,261,-0.7931034482758621,-0.5957038314176245,0.8697318007662835,401,1.5363984674329503,1.314516129032258,1.0
2026-08-12,223,-0.7309417040358744,-0.5501923766816144,0.8340807174887892,252,1.1300448430493273,1.5071090047393365,1.0
2026-08-13,237,-0.7637130801687764,-0.5673308016877637,0.8438818565400844,253,1.0675105485232068,1.356164383561644,1.0
2026-08-14,259,-0.7915057915057915,-0.6056030888030888,0.8494208494208494,639,2.4671814671814674,1.3387755102040817,1.0
2026-08-15,220,-0.759090909090909,-0.58929,0.8409090909090909,553,2.5136363636363637,1.4377880184331797,1.0
2026-08-16,226,-0.7477876106194691,-0.5706371681415929,0.831858407079646,1264,5.592920353982301,1.4928909952606635,1.0
2026-08-17,221,-0.7873303167420814,-0.5903972850678734,0.8461538461538461,526,2.3800904977375565,1.4585365853658536,1.0
2026-08-18,268,-0.7723880597014925,-0.5795847014925373,0.8470149253731343,477,1.7798507462686568,1.493877551020408,1.0
2026-08-19,260,-0.8192307692307692,-0.6233876923076923,0.8730769230769231,633,2.4346153846153844,1.496031746031746,1.0
2026-08-20,224,-0.7321428571428571,-0.5507754464285715,0.8169642857142857,239,1.0669642857142858,1.4,1.0
2026-08-21,235,-0.7191489361702128,-0.5416272340425532,0.8085106382978723,506,2.1531914893617023,1.358744394618834,1.0
2026-08-22,223,-0.7982062780269058,-0.606985201793722,0.8654708520179372,262,1.1748878923766817,1.456221198156682,1.0
2026-08-23,227,-0.788546255506608,-0.609947577092511,0.8634361233480177,235,1.0352422907488987,1.339366515837104,1.0
2026-08-24,232,-0.771551724137931,-0.5801202586206896,0.8405172413793104,250,1.0775862068965518,1.4349775784753362,1.0
2026-08-25,245,-0.8081632653061225,-0.6233791836734695,0.8530612244897959,253,1.0326530612244897,1.3640350877192982,1.0
2026-08-26,221,-0.7647058823529411,-0.5839850678733032,0.8235294117647058,466,2.1085972850678734,1.4428571428571428,1.0
2026-08-27,243,-0.7901234567901234,-0.599579012345679,0.8559670781893004,439,1.8065843621399178,1.3584070796460177,1.0
2026-08-28,223,-0.7847533632286996,-0.5964762331838565,0.8565022421524664,225,1.0089686098654709,1.4225352112676057,1.0
2026-08-29,240,-0.7833333333333333,-0.5921229166666666,0.8583333333333333,367,1.5291666666666666,1.3461538461538463,1.0
2026-08-30,231,-0.8095238095238095,-0.6177151515151516,0.8658008658008658,475,2.0562770562770565,1.4444444444444444,1.0
2026-08-31,225,-0.7955555555555556,-0.6070933333333334,0.8577777777777778,332,1.4755555555555555,1.3971291866028708,1.0
2026-09-01,222,-0.7477477477477478,-0.5750981981981982,0.8288288288288288,467,2.1036036036036037,1.4832535885167464,1.0
2026-09-02,229,-0.7641921397379913,-0.566735807860262,0.8296943231441049,230,1.0043668122270741,1.5,1.0
2026-09-03,242,-0.6652892561983471,-0.5021702479338843,0.7851239669421488,206,0.8512396694214877,1.4814814814814814,1.0
2026-09-04,246,-0.7804878048780488,-0.5978528455284553,0.8455284552845529,524,2.130081300813008,1.3663793103448276,1.0
2026-09-05,232,-0.7931034482758621,-0.5953862068965518,0.8620689655172413,217,0.9353448275862069,1.448888888888889,1.0
2026-09-06,211,-0.7535545023696683,-0.5800592417061611,0.8341232227488151,214,1.014218009478673,1.3004926108374384,1.0
2026-09-07,218,-0.8073394495412844,-0.5999733944954128,0.8715596330275229,437,2.0045871559633026,1.4558823529411764,1.0
2026-09-08,245,-0.7428571428571429,-0.5630444897959184,0.8204081632653061,167,0.6816326530612244,1.3719806763285025,1.0
2026-09-09,260,-0.75,-0.5588069230769231,0.8384615384615385,238,0.9153846153846154,1.4840182648401827,1.0
2026-09-10,246,-0.7804878048780488,-0.5699939024390244,0.8333333333333334,225,0.9146341463414634,1.4227272727272726,1.0
2026-09-11,265,-0.7433962264150943,-0.5570833962264151,0.8226415094339623,137,0.5169811320754717,1.528888888888889,1.0
2026-09-12,270,-0.7962962962962963,-0.6050525925925926,0.8592592592592593,255,0.9444444444444444,1.3548387096774193,1.0
2026-09-13,235,-0.6978723404255319,-0.5393459574468086,0.8085106382978723,237,1.0085106382978724,1.3936651583710407,1.0
